id,major_mm,minor_mm,area_px,r,g,b,luma
110,1.8460539841781445,0.3011276926596957,360,138,138,126,136.632
111,0.38465479653840273,0.09634577666060708,24,226,229,224,227.53300000000002
112,1.9402249869538324,0.28014518525568805,352,156,156,145,154.74599999999998
113,0.48755012562812455,0.12668736734496422,40,228,231,225,229.41899999999998
114,1.654829315216527,0.2790040934686834,299,144,143,132,142.045
115,1.9613623135463778,0.2700404893732818,343,153,154,141,152.219
116,0.9409199288462328,0.20513980510897595,125,181,182,175,180.90299999999996
117,0.11012634789186465,0.028043444210636776,2,181,187,182,184.63599999999997
118,1.603463828715821,0.2619403052048933,272,146,147,136,145.44699999999997
119,0.8017319143579105,0.17334284903264996,90,191,193,185,191.48999999999998
120,0.9751002512562491,0.17577872219113783,111,210,213,207,211.419
121,0.48755012562812455,0.11718581479409187,37,229,232,224,230.191
122,1.5323003948312486,0.276120875645047,274,150,151,141,149.561
123,0.7102936012664058,0.16304817935782537,75,214,219,211,216.593
124,0.48755012562812455,0.13302173571221243,42,225,228,222,226.41899999999998
125,1.2927538677180588,0.25800641127242363,216,157,159,148,157.14800000000002
126,1.6079955301554791,0.2660036062852349,277,153,154,142,152.33299999999997
127,0.4179001076812495,0.07390096428456247,20,233,235,231,233.946
128,0.7321538858054364,0.17505249832542197,83,194,196,188,194.49
129,0.9041098177212765,0.16737765656556505,98,176,176,169,175.20199999999997
130,1.1922162660356552,0.2422027982195464,187,162,164,157,162.60399999999998
131,1.9607438798833468,0.29060165993440346,369,140,140,128,138.632
132,0.7102936012664058,0.15000432500919933,69,211,214,206,212.191
133,0.38465479653840273,0.08028814721717256,20,233,235,225,233.262
134,1.5075649447038757,0.2570930188192193,251,160,162,151,160.148
135,1.6744999999999999,0.2794152267087742,303,146,150,136,147.208
136,1.576769343467839,0.29085790686132573,297,140,140,128,138.632
137,0.34825008973437466,0.08424709928440119,19,234,235,232,234.359
138,1.0801368258234696,0.24017240189294237,168,153,155,143,153.034
139,0.9409199288462328,0.19529309446374507,119,172,174,167,172.60399999999998
